,City,Customer type,Gender,Product line,Offers,Tax,Total,Profit,Payment,Rating
80,Mumbai,Silver,Female,Health and Beauty,September,31.24485,624.897,95.14,Credit card,5.5
81,Bangalore,Gold,Female,Food and Beverages,March,15.2271,304.542,90.04,Ewallet,6.4
83,Hyderabad,Platinum,Female,Food and Beverages,December,16.8756,337.512,31.44,Credit card,8.3
84,Chennai,Gold,Male,Sports,March,12.838875,256.7775,44.55,Cash,6.6
85,Chennai,Normal,Female,Sports,March,30.52455,610.491,81.42,Ewallet,4.0
86,Mumbai,Silver,Male,Fashion Accessories,August,20.0865,401.73,32.6,Cash,9.9
87,Delhi,Gold,Male,Food and Beverages,December,18.14715,362.943,35.66,Credit card,7.3
88,Delhi,Gold,Male,Sports,March,47.729675,954.5935,42.47,Cash,5.7
89,Chennai,Silver,Female,Health and Beauty,September,24.25185,485.037,61.94,Cash,6.1
91,Chennai,Gold,Female,Sports,March,23.5515,471.03,48.6,Ewallet,8.2
92,Delhi,Gold,Female,Sports,March,80.52765,1610.553,153.86,Ewallet,5.1
93,Bangalore,Silver,Male,Health and Beauty,September,30.4101,608.202,79.24,Credit card,8.6
95,Delhi,Platinum,Male,Electronic Accessories,October,53.1009,1062.018,97.16,Ewallet,7.2
96,Bangalore,Gold,Male,Health and Beauty,September,46.13175,922.635,878.7,Ewallet,5.1
97,Mumbai,Silver,Female,Electronic Accessories,November,148.12175,2962.435,304.7,Cash,4.1
98,Delhi,Gold,Male,Food and Beverages,December,8.308125,166.1625,15.25,Ewallet,9.3
